dep,last_date,path_data,n_jobs,n_jobs_text,time,id_uuid
all,09-10-2024,./data/all/09-10-2024.csv,3287,3287,128.04125452041626,e9cbf46a-5b31-42c4-9cdd-b6beb3a7b6ea
all,09-10-2024,./data/all/09-10-2024.csv,3170,3170,393.6722586154938,9e177b35-e7f1-4315-b615-73032f1ab46b
all,09-10-2024,./data/all/09-10-2024.csv,3191,3191,404.43030643463135,b86440ce-ceab-4400-b8c0-3642c0e8d75e
all,09-10-2024,./data/all/09-10-2024.csv,3191,3191,398.6736640930176,27b48560-4253-49ab-bd4d-49b8e15ff718
all,09-10-2024,./data/all/09-10-2024.csv,196,196,52.13931679725647,2293e0af-0222-4dfb-aa13-ad023a328374
all,09-10-2024,./data/all/09-10-2024.csv,196,196,55.30743718147278,a8e488ee-6591-492e-86f2-b43aa7139b49
all,09-10-2024,./data/all/09-10-2024.csv,196,196,53.122334480285645,1c1170c3-9f48-4bf1-b53c-a4e9ee6e5b80
all,09-10-2024,./data/all/09-10-2024.csv,122,122,43.18836736679077,83f66d84-2879-4967-9141-88e6aa78aac5
all,09-10-2024,./data/all/09-10-2024.csv,114,114,24.538647890090942,60ed1f5f-d8f6-4f99-99f3-cf270e4d597e
all,09-10-2024,./data/all/09-10-2024.csv,124,124,26.43429970741272,e4e85af1-e3cc-4535-8456-2dbd9e999365
all,09-10-2024,./data/all/09-10-2024.csv,124,124,25.822625160217285,48c04a83-3594-4357-bf89-d544cdf0bfb7
all,09-10-2024,./data/all/09-10-2024.csv,125,125,26.6769597530365,11658fd7-f91c-41a2-bd30-6e445ea5fb64
all,09-10-2024,./data/all/09-10-2024.csv,3251,3251,407.4403104782105,8675a98f-c106-49d5-b622-4f8cf8d8d622
all,10-10-2024,./data/all/10-10-2024.csv,3331,3331,417.94577288627625,aaa0db66-825f-487f-926e-c679be9e7852
all,10-10-2024,./data/all/10-10-2024.csv,3552,3552,435.26386737823486,0cc62388-cd92-4199-9601-9e308d4ab30f
all,10-10-2024,./data/all/10-10-2024.csv,3604,3604,421.26032400131226,dbf7d40a-2fea-48d9-b8f8-fbda19dc0cbd
all,11-10-2024,./data/all/11-10-2024.csv,3572,3572,114.89457774162292,33ee3932-423f-457c-aba5-be6724e1320d
